URL,チャンネル名,登録者数,総再生数,投稿数,初投稿日
https://www.youtube.com/channel/UC3og_gAUXsEGW-qDoiGCMOQ,鷲 [NavyEagle2000],17700,4264454,43,2016/02/11
https://www.youtube.com/channel/UC7fwFjZKiaHtcDnH1JUkFuw,サトウキビしゅがー,9910,5170824,50,2016/05/22
https://www.youtube.com/channel/UCzB8_PC3Siup1Zai8EfJC2g,中村 / Nakamura,10200,1221995,68,2018/07/21
https://www.youtube.com/user/matubokkjp,matubokkjp,7510,2336311,33,2013/06/14
https://www.youtube.com/user/nechonidus,王立製作所【ネコ3世 and M.C.M.】,6890,2494010,51,2013/06/30
https://www.youtube.com/channel/UCVCIwy9C9nZCSgMBanbicOQ,チビすけ,5270,1095731,78,2015/09/12
https://www.youtube.com/channel/UCAhWksojRXPhWZeWU6klw4w,uniabo,3410,1010049,177,2016/04/02
https://www.youtube.com/channel/UCnIJW9L4JPXWTLakVJL6aPA,amu_yugo,2170,292021,22,2016/08/23
https://www.youtube.com/channel/UCWc6h3RiZQuix7U4Cced8fg,逆方面のジーニアス_,1150,187952,42,2017/12/08
https://www.youtube.com/user/tamashiropod,塩屋丸,2730,657337,51,2012/11/15
https://www.youtube.com/channel/UChTecvFw28tdseOQOJ1RDmA,Nereidon,3300,1528573,30,2013/12/24
https://www.youtube.com/channel/UCTyWgqo8GiiKap3-ecD6WVQ,ʘきり,1570,238571,13,2017/09/06
https://www.youtube.com/channel/UCLwDneZsOVr_cWKXYK-Vzww,umikaze102,3070,412516,26,2016/09/01
https://www.youtube.com/user/nozinozigunnzibu,野尻航輝,3550,33277,2,2015/03/27
https://www.youtube.com/channel/UCrbf28FSEmVm1moy-BbzlQQ,犬甘みかん,2370,458272,16,2015/04/11
https://www.youtube.com/channel/UCc69hJ5mwisOY32RmEB3Xtg,sak a,2600,780553,41,2012/11/12
https://www.youtube.com/channel/UC8K2d3X4zLhf6G0NbNUdV5A,東風谷ポッキー,2500,815456,92,2014/04/29
https://www.youtube.com/channel/UCMbyDFdjJZ4gjWNPZ7Jv31Q,れもん,1940,816803,11,2014/08/11
https://www.youtube.com/channel/UCOHo2OjTEx__ki-vNCYttJQ,グロウジーク,1520,8414,11,2019/12/21
https://www.youtube.com/channel/UCZdbfCBSeWYhRhIX8k2jJhQ,加魅那ロリコry,1130,357594,54,2015/01/17
https://www.youtube.com/channel/UCfinanJHgu7a__WILI0JL3w,たいさ,4240,833433,171,2016/02/07
https://www.youtube.com/channel/UClA1BuykNif3_zxjBcOFB_A,タンザナイト,3830,1123688,79,2017/03/31
https://www.youtube.com/user/zclass38,ⓩclassDestroyer,2650,1030939,53,2013/07/04
https://www.youtube.com/user/SayamaMX,Sandman Channel,0,3091633,115,2013/06/06
https://www.youtube.com/user/nafutaren0801,なふたれんチャンネル,3390,1829527,879,2013/01/05
https://www.youtube.com/user/nobori031404130814,Aパルティエ,2000,722400,45,2015/10/28
https://www.youtube.com/channel/UCiPopwfnecQmGOU0S8FmevQ,鮭酒,1520,252893,2,2015/10/09
https://www.youtube.com/channel/UCGXtZ4-cWuPKKyC8ao9Izxw,河村ケンジロウ,1080,0,1,2013/06/14
