URL,チャンネル名,登録者数,総再生数,投稿数,初投稿日,平均再生数,投稿頻度(1/year)
https://www.youtube.com/channel/UC3og_gAUXsEGW-qDoiGCMOQ,鷲 [NavyEagle2000],18800,4834671,49,2016/02/11,98667,8.09
https://www.youtube.com/channel/UC7fwFjZKiaHtcDnH1JUkFuw,サトウキビしゅがー,10500,5614623,50,2016/05/22,112292,8.65
https://www.youtube.com/channel/UCzB8_PC3Siup1Zai8EfJC2g,中丸・中村造船,10700,1252667,39,2018/07/21,32120,10.79
https://www.youtube.com/user/matubokkjp,matubokkjp,7640,2354690,34,2013/06/14,69256,3.90
https://www.youtube.com/user/nechonidus,王立製作所【ネコ3世 and M.C.M.】,6860,2510516,52,2013/06/30,48279,5.99
https://www.youtube.com/channel/UCVCIwy9C9nZCSgMBanbicOQ,チビすけ,5710,1206812,84,2015/09/12,14367,12.98
https://www.youtube.com/channel/UCAhWksojRXPhWZeWU6klw4w,uniabo,3680,1117745,200,2016/04/02,5589,33.81
https://www.youtube.com/channel/UCnIJW9L4JPXWTLakVJL6aPA,amu_yugo,2260,314614,24,2016/08/23,13109,4.35
https://www.youtube.com/channel/UCWc6h3RiZQuix7U4Cced8fg,逆方面のジーニアス_,1210,198034,42,2017/12/08,4715,9.93
https://www.youtube.com/user/tamashiropod,塩屋丸,2720,664290,51,2012/11/15,13025,5.49
https://www.youtube.com/channel/UChTecvFw28tdseOQOJ1RDmA,Nereidon,3290,1534435,30,2013/12/24,51148,3.66
https://www.youtube.com/channel/UCTyWgqo8GiiKap3-ecD6WVQ,ʘきり,1610,256458,13,2017/09/06,19728,2.90
https://www.youtube.com/channel/UCLwDneZsOVr_cWKXYK-Vzww,umikaze102,3610,372730,25,2016/09/01,14909,4.55
https://www.youtube.com/user/nozinozigunnzibu,野尻航輝,3540,33500,2,2015/03/27,16750,0.29
https://www.youtube.com/channel/UCrbf28FSEmVm1moy-BbzlQQ,犬甘みかん,2360,461674,16,2015/04/11,28855,2.32
https://www.youtube.com/channel/UCc69hJ5mwisOY32RmEB3Xtg,sak a,2580,782159,41,2012/11/12,19077,4.41
https://www.youtube.com/channel/UC8K2d3X4zLhf6G0NbNUdV5A,東風谷ポッキー,2610,832800,95,2014/04/29,8766,12.11
https://www.youtube.com/channel/UCMbyDFdjJZ4gjWNPZ7Jv31Q,れもん,1910,192,9,2014/08/11,21,1.19
