URL,チャンネル名,登録者数,総再生数,投稿数,軍事部系最後の投稿日,初投稿日,失踪期間,活動期間(day),投稿頻度(1/year),平均再生数,登録者増加数,前回調査以降の投稿数
https://www.youtube.com/channel/UC3og_gAUXsEGW-qDoiGCMOQ,紺鷲@狂気のマインクラフター,20100,5307836,56,2022/07/22,2016/02/11,7,2360,8.66,94782.8,1300,7
https://www.youtube.com/channel/UC7fwFjZKiaHtcDnH1JUkFuw,サトウキビしゅがー,10800,5913283,50,2021/03/05,2016/05/22,511,2259,8.08,118265.7,300,0
https://www.youtube.com/channel/UCzB8_PC3Siup1Zai8EfJC2g,中丸・中村造船,11400,1410546,44,2022/07/29,2018/07/21,0,1469,10.93,32057.9,700,5
https://www.youtube.com/user/matubokkjp,matubokkjp,7680,2363814,34,2015/07/12,2013/06/14,2574,3332,3.72,69523.9,40,0
https://www.youtube.com/user/nechonidus,王立製作所【ネコ3世 and M.C.M.】,6860,2524308,52,2019/01/03,2013/06/30,1303,3316,5.72,48544.4,0,0
https://www.youtube.com/channel/UCVCIwy9C9nZCSgMBanbicOQ,チビすけ,6160,1311019,88,2022/06/03,2015/09/12,56,2512,12.79,14897.9,450,4
https://www.youtube.com/channel/UCAhWksojRXPhWZeWU6klw4w,uniabo,3790,1185406,220,2022/07/23,2016/04/02,6,2309,34.78,5388.2,110,20
https://www.youtube.com/channel/UCnIJW9L4JPXWTLakVJL6aPA,amu_yugo,2300,329599,24,2021/09/23,2016/08/23,309,2166,4.04,13733.3,40,0
https://www.youtube.com/channel/UCWc6h3RiZQuix7U4Cced8fg,逆方面のジーニアス_,1220,204607,42,2021/08/10,2017/12/08,353,1694,9.05,4871.6,10,0
https://www.youtube.com/user/tamashiropod,塩屋丸,2710,669271,51,2020/03/16,2012/11/15,865,3543,5.25,13123.0,-10,0
https://www.youtube.com/channel/UChTecvFw28tdseOQOJ1RDmA,Nereidon,3270,1537771,30,2015/09/17,2013/12/24,2507,3139,3.49,51259.0,-20,0
https://www.youtube.com/channel/UCTyWgqo8GiiKap3-ecD6WVQ,ʘきり,1680,268363,13,2020/09/13,2017/09/06,684,1787,2.66,20643.3,70,0
https://www.youtube.com/channel/UCLwDneZsOVr_cWKXYK-Vzww,umikaze102,3870,434229,26,2022/07/19,2016/09/01,10,2157,4.40,16701.1,260,1
https://www.youtube.com/user/nozinozigunnzibu,野尻航輝,3510,33646,2,2015/03/27,2015/03/27,2681,2681,0.27,16823.0,-30,0
https://www.youtube.com/channel/UCrbf28FSEmVm1moy-BbzlQQ,犬甘みかん,2350,464173,16,2017/04/24,2015/04/11,1922,2666,2.19,29010.8,-10,0
https://www.youtube.com/channel/UCc69hJ5mwisOY32RmEB3Xtg,sak a,2570,787412,38,2017/04/08,2012/11/12,1938,3546,3.91,20721.4,-10,-3
https://www.youtube.com/channel/UC8K2d3X4zLhf6G0NbNUdV5A,東風谷ポッキー,2640,843420,97,2022/04/10,2014/04/29,110,3013,11.75,8695.1,30,2
https://www.youtube.com/channel/UCMbyDFdjJZ4gjWNPZ7Jv31Q,れもん,1900,212,9,2017/04/01,2014/08/11,1945,2909,1.13,23.6,-10,0
https://www.youtube.com/channel/UCOHo2OjTEx__ki-vNCYttJQ,グロウジーク,1840,24829,45,2022/07/03,2019/12/21,26,951,17.27,551.8,270,29
https://www.youtube.com/channel/UCZdbfCBSeWYhRhIX8k2jJhQ,加魅那ロリコry,1130,362441,54,2020/08/09,2015/01/17,719,2750,7.17,6711.9,0,0
https://www.youtube.com/channel/UCfinanJHgu7a__WILI0JL3w,/ たいさ / taisa,40700,3318594,186,2020/03/19,2016/02/07,862,2364,28.72,17841.9,36520,11
https://www.youtube.com/channel/UClA1BuykNif3_zxjBcOFB_A,タンザナイト,3990,1230782,80,2021/03/19,2017/03/31,497,1946,15.01,15384.8,70,0
https://www.youtube.com/user/zclass38,ⓩclassDestroyer,3620,1345174,57,2022/01/30,2013/07/04,180,3312,6.28,23599.5,910,3
https://www.youtube.com/user/SayamaMX,Sandman Channel,8990,3095086,115,2016/03/16,2013/06/06,2326,3340,12.57,26913.8,8990,0
https://www.youtube.com/user/nafutaren0801,なふたれんチャンネル,3420,1883901,896,2022/02/17,2013/01/05,162,3492,93.65,2102.6,10,5
